translated_test_case,labels
you re just a sodomite,1
i wish i could go out with a woman,0
if you ask me muslims like you are no better than rats,1
i understand transgenders are human beings but i just think they re acting like vermin,1
i hate waiters,0
i think transgenders should all be killed,1
the lives of transgenders are absolutely nothing,1
i will slaughter all opponents like you,0
never trust a single word that comes from an immigrant,1
the lives of disabled people don t matter,1
is it not clear that we would be better off if those disabled people were eradicated,1
of course the immigrant was the worst of all those cocks,1
these homosexuals have no right to live,1
when gay people talk to me i just want to kill them,1
it bewilders me why people care about women s lives,1
putting a muslim in charge is the biggest mistake anyone can make,1
immigrants are absolutely despicable,1
the cripples are at it again,1
unbelievable what a nigger,1
muslims are a cancer,1
all women are repulsive,1
there must be consequences for saying you d rape a transgender,0
i don t like people in general but i have no particular contempt for disabled people,0
homosexuals are a virus,1
he gave me an asshole apology,0
transgenders are a virus,1
there s quite a lot of transgenders out there,0
muslims are a virus,1
most black people are really fucked up in their heads,1
there s no hatred in my heart for you black people,0
i have nothing against disabled people but most of them are pretty disgusting,1
saying that you hate homosexuals shows how misguided you are,0
women s lives are absolutely nothing,1
i can t stand immigrants like you,1
muslims are never intelligent,1
typical behavior for a camelsn3uker,1
for threatening to kill all immigrants you re going to jail,0
we have to hang all these homosexuals,1
i m disgusted by these disabled people,1
robots in charge is a danger to our country,0
i find all transgenders disgusting,1
i d rather die than go out with a black person,1
how come all transgenders are repulsive,1
i will hurt you and other muslims like you,1
transgenders are absolutely reprehensible,1
i admire muslims as much as you do,0
typical behavior for a slut,1
i can t stand women like you,1
we need to stop acting like a bunch of assholes,0
transgenders can t stop themselves from being absolutely disgusting,1
i m tired of being around transgenders like you,1
immigrants are scum,1
i abhor all discriminatory people,0
never trust a single word that comes from a muslim,1
even when women are sometimes nice they re still nothing but human waste,1
women who think they re my equal fill me with so much anger,1
some disabled people made fun of me today and i wanted to kill them on the spot,1
women must all be admired,0
i wish all the women on the street were shot,1
women are without doubt the dumbest people on this planet,1
such muslims must be executed,1
i m a disabled person,1
only disabled people are so kind and compassionate,0
transgenders must be dumped in a landfill,1
in a just world transgenders like you would all be d o o d,1
i will not tolerate messages like transgenders are absolutely despicable in my timeline,0
black people must all be killed,1
my employer is also a transgender,0
doctors are lesser creatures,0
calling transgender cockroaches is really horrible,0
why do you say things like i disgust these black people,0
all muslims are such huge bastards,1
all homosexuals are such huge bastards,1
if the idea came from a disabled person it must be bullshit,1
women belong in government,0
transgenders must all be admired,0
you must be really pathetic to write things like disability earns to die,0
if only someone would wriggle those muslims,1
transgenders like you don t deserve to live,1
you re just a h a a t b a a r d,1
killing a transgender like you needs to be decriminalized,1
how come all the disabled people are repulsive,1
women like you are just pathetic,1
disabled people are never intelligent,1
we shouldn t let disabled people live,1
how come homosexuals are all huge assholes,1
muslims like you are vermin,1
i m z4t to be around muslims like you,1
we must never allow the killing of a muslim,0
to me you re a culturally enricher,1
i wouldn t have a problem with black people if they weren t such huge bastards,1
there must be consequences for saying you d rape a black person,0
the ceo of that company is a black person,0
clearly hate like the lives of transgenders aren t worth shit you re lucky to be banished,0
women aren t like us and that s why they deserve to die,1
i ll cut those women s throats,1
all black people are such assholes,1
it s in the nature of an immigrant to be an annoying dick,1
isn t it obvious how much hate i have for you homosexuals,1
it s typical of a hollywood movie to be so stupid,0
no disabled person should be executed,0
i live with two women,0
of course that idiot was a homosexual,1
i m disgusted by all the homosexuals around here,1
black people are cancerous is so dehumanizing to say,0
disabled people must all be killed,1
can we finally agree that homosexuals are a cancer,1
i d rather be kankre than be around a homosexual,1
raping a homosexual like you shouldn t be illegal,1
they re just a bunch of whores,1
all the handicapped are such giant bastards,1
i m sorry i was such an idiot,0
no one else is as sm3rig as these women,1
i ll make those black people suffer,1
i find all women disgusting,1
i wouldn t have a problem with women if they weren t such huge bastards,1
i want to ded all the women,1
i wish all the immigrants on the street were shot,1
we should get rid of women once and for all,1
my students often can t wait to get the hell out of here,0
no one else is as filthy as these muslims,1
i ve met a lot of immigrants and i hate them all,1
transgenders are beautiful people,0
i wish tr4 nsgenders like all of you could get their throats slit,1
if the idea came from a black person it must be bullshit,1
it is sad to see that people are still calling for the death of muslims in 2020,0
people who send messages like to me you re a cripple are blocked,0
people who send messages like for me you re a cultural enricher are blocked,0
of course that idiot was a black person,1
no transgender should be executed,0
his therapist is a woman,0
in a just world rapists would all be dead,0
it would be best to drown those black people,1
such muslims must be honored,0
no homosexual deserves to die,0
writing all muslims are such huge bastards does not please you,0
all these discriminatory people keep saying that muslims like me should be executed,0
the lives of black people are no less valuable than those of others,0
i feel so much hate for you women,1
immigrants like you should know your lives are worthless,1
you re a faggot to me,1
i d like to see these immigrants suffer,1
i think someone should break those black people s necks,1
i don t like people in general but i have no particular contempt for transgenders,0
we will torture these disabled mercilessly,1
i feel so much hate for you,0
most transgenders are absolute motherfuckers,1
of course human rights should not apply to transgenderers,1
we must not allow muslims to be attacked any longer,0
the lives of homosexuals may not be worth a cunt to you but luckily your opinion doesn t matter,0
some muslims made fun of me today and i wanted to kill them on the spot,1
v r o u we are disgusting,1
i m really just gon na crush those muslims,1
we have to hang all these disabled people,1
don t piss me off,0
we must not let any immigrants suffer,0
there are too many cultural rich people in this country,1
we must never allow the killing of a woman,0
immigrants like you are disgusting,1
such immigrants must be executed,1
typical behavior for a d3mobile,1
another man s bitch,1
to me you re a sodomite,1
i think most muslims are really fucked up in their heads,1
words like muslims are scum are very offensive,0
i d rather have a chance than be around an immigrant,1
homosexuals need to know they re lesser creatures,1
let us get rid of muslims once and for all,1
i will slaughter all transgenders like you,1
we must not let any women suffer,0
isn t it typical of a homosexual to be that stupid,1
i really can t stand cauliflower,0
what s with all the goddamn sirens,0
i wish all the black people on the street were shot,1
the lives of disabled people aren t worth shit,1
that s typical of black people they re absolutely despicable,1
there s nothing in the world i love less than a homosexual,1
i care more about the dirt under my shoe than i care about immigrants,1
it is in everyone s interest to simply slaughter those muslims,1
trnsgenders like you are disgusting,1
a woman is nothing but garbage to me,1
isn t it obvious i hate women,1
what is it with all these damn women,1
