Unnamed: 0,index,text,sentiment,hate_speech,translated_text
2305,842,"Bloomberg узнал о проработке сценария оставления Путина у власти По словам собеседников агентства Bloomberg, один из них предполагает объединение России с Белоруссией. Против такого варианта ранее выступал Лукашенко, а российский посол говорил, что Москва таких предложений не делала В президентской администрации рассматриваются различные варианты, которые позволят Владимиру Путину остаться у власти как можно дольше, сообщили Bloomberg три источника, близкие к Кремлю. Один из сценариев предполагает создание нового государства путем объединения с Белоруссией , новую страну возглавит Путин, что позволит ему обойти конституционные ограничения по количеству президентских сроков. Политолог и бывший сотрудник администрации президента Андрей Колядин сказал агентству, что в Кремле активно обсуждали и сценарий, схожий с тем, что сейчас происходит в Казахстане. Москва будет следить за тем, насколько Нурсултан Назарбаев после отставки с поста президента Казахстана сможет контролировать ситуацию и как будет распределено влияние в новой конфигурации, сказал главный редактор сайта Московского центра Карнеги Александр Баунов. Повторить стратегию Назарбаева в России невозможно, сказал агентству политолог Аркадий Дубнов, потому что политическая система России устроена сложнее, чем казахстанская. РБК направил запрос пресс-секретарю президента Дмитрию Пескову. В декабре 2018 года президент Белоруссии Александр Лукашенко на пресс-конференции сказал, что Москва под предлогом глубокой интеграции хочет включить страну в состав России. А некоторые прямо говорят: мы готовы, чтобы вы шестью областями вошли в состав Российской Федерации , заявил он. Однако посол России в Минске Михаил Бабич 1 марта сказал, что таких предложений не было и что Москва выступает за развитие Союзного государства России и Белоруссии.
",0,0.0,"Bloomberg learned of the scenario of Putin's abandonment in power. According to Bloomberg's interlocutors, one of them was to unite Russia with Belarus. Lukashenko had opposed such an option. The Russian Ambassador had previously said that Moscow had not made such proposals to the Presidential Administration. Various options were being considered that would allow Vladimir Putin to remain in power as long as possible. Bloomberg told three sources close to the Kremlin. One scenario suggested the creation of a new State by uniting with Belarus, a new country would lead Putin, allowing him to circumvent constitutional restrictions in terms of the number of presidential terms. A political scientist and a former employee of the administration of President Andrei Kolyadin told the Agency that in Kremlin was actively discussing and a scenario similar to what is now taking place in Kazakhstan. Moscow would monitor how much Nursultan Nazarbayev was about to build a new state by merging with Belarus, a new country would take over Putin, which would allow him to circumvent constitutional restrictions in terms of the number of presidential terms. A political editor Alexander said that in the Kremonian region of Russia, he said that it was impossible for him to develop a Russian country."
1206,101,"Да, обязательно, ты маленький хер!",-1,1.0,"Yeah, sure, you little dick!"
8469,7006,"к слову был какой-то марафон на парамаунт, где разные озвучники по одной серии Друзей озвучивали
",0,0.0,"By the way, there was some kind of paramount marathon where different speakers in one episode of Friends spoke."
15227,13764,"Он платить за хохлов не будет.
",0,1.0,He won't pay for the forelocks.
5337,3874,"Не так давно подруга нашла на парковке у дома кошелёк. Денег там не было, но было куча всего- и в у, и карточки всякие разные, и разрешение на оружие, в общем приличный пакет удостоверений. Увидела так же адрес квартиры, где прописан хозяин сего добра, ну и пошла прямиком возвращать. В домофон ответил мужик, притом представился так же как в документах, вот поднимается она на этаж, звонит в звонок, открывается дверь: девка молодая спасибо , забирает портмоне и с видом как ни в чем не бывало исчезает за дверью квартиры. Ни тебе СПАСИБО , ни хотя б 500 оловянных- нифигашеньки. Вот так вот людям помогать.
",0,0.0,"Not long ago, a friend found a wallet in the parking lot, but there was a lot of money in and out, and a lot of cards and a lot of stuff, and a permit for guns, and a decent package of cards, and she saw the same address of the apartment where the owner of this good was written, and she went straight to return it, and the guy said to the house, and he introduced himself the same way as in the documents, and then she came up to the floor, and she called the door, and she opened the door, and the girl, she took the port, and looked like she was disappearing behind the door of the apartment."
9793,8330,"Я тоже не каждый день машины покупаю, что не так с ДКП?
",0,0.0,"I don't buy cars every day, either, what's wrong with DCP?"
7331,5868,"Даже война ненужна Деньги кончаться работы не будут , быстро стрелочка повернется Сейчас просто деньги есть,благо 3 века подряд пиздили с африки и других стран.
",-1,0.0,"Even war is unnecessary, money will not end, the shooter will turn quickly now just eat money, for three centuries in a row, fuck Africa and other countries."
5502,4039,"У петушков в телевизоре куда ни плюнь - всюду провокации.
",0,1.0,The roosters in the TV have all kinds of provocations.
6468,5005,"ну да. а в автомобилях трех и пятиточечечные ремни, видимо, для красоты делают. ведь веревочка поперек живота и так прекрасно спасает! и потом пост и был про пристегивание после посадки, но внезапно у нас воздушные ямы появились.
",-1,0.0,"Well, yeah, and in cars three and five-point belts, apparently for beauty, because the rope across the abdomen is a great saver, and then the post and it was about the fastening after the landing, but all of a sudden, we've got air pits."
15158,13695,"Расплачься ещё, хохлина рваная.
",0,1.0,"Scream again, you fucking fucker."
2403,940,"Чмоки тебя везде, ты не в Самаре часом?
",0,0.0,"Smoke you everywhere, you're not in Samara for an hour?"
6114,4651,"В том то и дело, все профильные фирмы будут вам продавать говно. А отдел менеджеров служит только для того чтобы вы покупали говно именно у них. А по сути какая разница-то - у всех говно, только разных сортов. Шоколадки уже не продают ибо на них много не заработаешь.
",-1,0.0,"That's the point, all the line firms are gonna sell you shit, and the manager's department only works to get you to buy shit from them, and basically what's the difference is all shit, just different kinds of stuff, and chocolate doesn't sell anymore because you can't make a lot of money."
7295,5832,"Когда Вова Пыня Крохотусик перестанет выгонять из россии людей?
",0,1.0,When is it gonna stop Vova Krokhotushik kicking people out of Russia?
10032,8569,"Жопа - не мат. И не помню я, чтобы падонки так над ней издевались
",-1,1.0,And I don't remember being bullied by assholes like that.
13846,12383,"Совершенно точно! Участвовал в таком, в качестве переднего пассажира. Перекресток о трех полосах, нужно свернуть на лево. Со встречки такой же стоит, тонированный, тоже на свое лево ждет. За тонировкой плохо видно, что происходит за ним. Решено не искушать судьбу, дождаться прям красного и завершить маневр . Только загорелся красный начали трогать и вот он, камикадзе на класике, в лихом маневре с перестроением из ТРЕТЬЕЙ полосы в среднюю, не бросая газа и святой верой в успех... Удар в мою сторону, хорошо не сильно сунулись- в колесо прилетел. 3-4 оборота вокруг своей оси, полный салон моих и водительских кирпичей, мокрые колготки, морда набок. Итог- обоюдно виноваты. Мы не убедились в безопасности маневра, он двигал на красный-штраф тогда был 500р.по моему. Авто чините каждый сам, он свой жигуль, тыш на 5. И вы свой форд, сами считайте. Таки дела...
",0,0.0,"I'm not sure what's going on here. I don't know what's going on. I've decided not to tempt fate, I'm going to wait for red, and I'm going to finish my manoeuvre. I've just started to hit red, and I'm going to hit red, and I'm gonna hit red, and I'm gonna put it on my left, and I'm gonna put it on my left, and I'm gonna put it on my left, and I'm gonna have it on my left, and I'm gonna do it on my left, and I'm gonna do it on my left, and I'm gonna do it. I'm gonna do it on my side, and I'm gonna do it on my own, and I'm gonna do it on my own, and I'm gonna do it on your own."
15598,14135,"Посмотрел и что дальше? Тред и о мертвишко-тян есть, понятно, что не блоггер, но активность же идёт, значит люди хотят о ней говорить и не только видимо на двачах. А есть Ебатории тред в котором все ноунеймы по сути, кроме ВжЛинка, но он подходит под тематику этого треда, Озон был уже. Есть тред про Юлию Туррета, тоже наверное охуееную популярность имеет, да? Не переоценивай fag
",0,0.0,"Tread and the dead man are there, obviously, not a blogger, but the activity is going, so people want to talk about it and not just look at it two times. And there's a Ebatoria cod in which all the nouns are essentially, except for Vjlink, but it fits the theme of this cod, Ozon has already been there. There's a cod about Julia Turret, and there's probably a fucking popularity, too, right? Don't overestimate the fag."
12425,10962,"В Лондоне наоборот. Там где туристические места, чисто. Если выехать из центра, начинается срачь.
",0,0.0,"In London, on the other hand, where tourist destinations are clear, when you leave the center, you start to lose."
8388,6925,"Да дело даже не в том, на что я потратила 440к, а в том, что они охуевшие наебатели, которых надо наказать. ТЦ нормусь, но аренда задрана, надо везти что-то оборотистое и постоянно там прыгать, чтобы хотя бы в ноль торговать.
",0,0.0,"It's not even what I spent 440k on, it's that they're fucking shitheads who need to be punished."
9668,8205,"Вот просто интересно, неужели до сир пор кто-то ведётся на такую хрень? В день принимаю куча звонков и просто развожу разводил (на время конечно).
",-1,0.0,"I'm just wondering if anyone's getting into this shit until now, taking a lot of calls and just divorcing (for the time being of course)."
12839,11376,"У меня на работе смогли привязать всё к логину пароль домена. При этом системы разные системы, типа Jira,Remedy, почта, SharePoint и тд. Или у вас ITшники не прошареные или им день этим заниматься
",0,0.0,"At work, I was able to link everything to the logic of the domain password, but systems are different, like Jira, Remedy, mail, SharePoint, etc. Or you have ITs that don't pass through or they have a day to do it."
6431,4968,"Ким Чен Ким.. Ын это имя. А фамилия Ким.
",0,0.0,"Kim Jong Kim-- Eun is a name, and Kim's name is."
9661,8198,"Это был намёк на то, как его засрали хохлы последние пять лет
",-1,1.0,It was a hint of how he'd been fucked up for the last five years.
4725,3262,"Идея интересная, но, как я понял, расстояние между осью и траками выставляется натяжкой тросов, а противостоит натяжению сцепка траков между собой. Как то очень хлипко это получается. . . Использовать подобное можно будет только на сверхлегкой технике
",0,0.0,"It's an interesting idea, but I understand that the distance between the axis and the ropes is placed by a tight rope, and it's countered by the tension of the couplings between them."
10582,9119,"Может центр планирования семьи ??
",0,0.0,Maybe a family planning center?
231,231,@Marilinka да ужасно всё(у нас теперь всё по баллам. все зачеты и промежуточные аттестации влияют на стипендию((,-1,0.0,@Marylinka is awful everything.
13581,12118,"но по факту зависимость)
",0,0.0,"(i.e., de facto dependence)"
4551,3088,"пшел нах чертос ссаный со своим камидаундзедидом
",-1,1.0,Fuck you fucking pissing with your kamidaundzeed.
12427,10964,"Посидев в трусах при нуле градусов ты тоже не долго протянешь.
",0,1.0,Sitting in your underwear at zero degrees won't last long either.
10957,9494,"Керамзит - это для квартир, с более-менее небольшими перепадами уровня. А товарищ LeBuTo по поводу цены прям в точку попал - оно ж по деньгам встанет как чугунный мост. Кстати, ещё интересно, как себя будет вести гвл практически по грунту...
",0,0.0,"Keramzith is for flats, with a little less or less level swings, and comrade LeBuTo, about the price, right to the point, it's gonna be like a dungeon bridge on the money."
1856,393,"Хуй пойми за что тебя минусуют. Я ищу вот такую девушку - Да как ты посмел нам указывать, ко-ко-ко, это мои интересы . Что-то странная хуета: высказываешь свою позицию, оказывается ты угнетаешь девушек и вообще должен заткнуться и засунуть своё мнение в задницу.
",0,0.0,"I'm looking for a girl like this-- how dare you tell us, co-co-co, it's my interests, something weird-- say your position, turns out you're oppressing the girls and you have to shut up and shove your opinion up your ass."
806,806,"@xxxoh_oppa было бы крайне хорошо, а то будет обидно, если в самый неожиданный момент, бумага тогокнется от обилия красок и прочая(",-1,0.0,"@xxoh_oppa would be extremely good, or it would be a shame if, at the most unexpected moment, the paper ran out of paint and stuff."
259,259,http://t.co/FaTsB05p71 но эта сука даже не пришла на его похороны:((,-1,1.0,http://t.co/FaTsB05p71 but that bitch didn't even come to his funeral:(()
1421,37,"Решение о вхождении Крыма в состав РФ считают верным 97% россиян; 78 % считает, что Крым принес только пользу  Где польза, где?  @Fake_MIDRF https://t.co/FzKdGgavum",-1,1.0,The decision to join Crimea is considered true by 97% Russians; 78% thinks Crimea has only benefited. Where? @Fake_MDRF https://t.co/FzKdGgavum
5302,3839,"Закадровый перевод несколько мешает воспринимать информацию. А почему не сделали только русскоязычную звуковую дорожку? Там есть звуки, которые нужно сохранить с оригинального файла?
",0,0.0,There are sounds that need to be saved from the original file.
12181,10718,"франция,например, поступить на первый курс, перезачесть до 5-6го и закончить. та же канада, быстрее отучиться 6 лет, чем подтверждать 7-8. некоторые арабские страны не признают диплом какой-то из стран снг (вообще не принимают документы на подтверждение).
",0,0.0,"France, e.g., enroll in the first year, read to the 5th to 6th and finish. The same canad, learn six years faster than confirm 7-8. Some Arab countries do not recognize the diploma of any of the Sng countries (not at all accept documents for confirmation)."
7186,5723,"Пусть стрим на канале этой тупой шаболды, но он нереально ламповый и пиздатый. Прямое общение, шутеечки и песенки - что может быть лучше, вот это контент.
",1,1.0,"Let's build this stupid shabble channel, but it's incredibly light and pussy-- direct communication, jokes and songs-- what could be better, that's content."
4795,3332,"Гид-доступ ограничивает использование устройства iOS одной программой Это совершенно другая фича.
",0,0.0,Hyde access limits the use of an iOS device in one program. It's a completely different feature.
