test_case,label_gold,translated_test_case
"Als het idee van een homoseksuele komt, moet het wel lulkoek zijn.",hateful,"If the idea comes from a homosexual, it's got to be bullshit."
Werkgevers zijn onmenselijke wezens.,non-hateful,Employers are inhumane creatures.
Ik zie geen verschil tussen dode ratten en dode homoseksuelen.,hateful,I see no difference between dead rats and dead homosexuals.
Jullie geh4ndicapten zijn allemaal oneerlijk.,hateful,You geh4ndicapts are all unfair.
Gehandicapten zoals jij zijnongedierte.,hateful,Disabled people like you are an ungodly person.
Al die gehandicapten in dit land maken me zo pissig.,hateful,All these handicapped people in this country are pissing me off.
Moslims zijn zonder twijfel de domste mensen op deze planeet.,hateful,Muslims are without doubt the dumbest people on this planet.
Transgenders zijn een virus.,hateful,Transgenders are a virus.
Persoonlijk vind ik dat we al die immigranten moeten ophangen.,hateful,"Personally, I think we should hang all these immigrants."
Uiteraard was die idioot een Moslim.,hateful,"Of course, that idiot was a Muslim."
Je kan toch niet echt geloven dat alle vrouwen dom zijn.,non-hateful,You can't really believe all women are stupid.
Ik zal de kelen van die homoseksuelendoorsnijden.,hateful,I'll cut the throats of those homosexuals.
Is het niet duidelijk hoeveel haat ik heb voor jullie transgenders?,hateful,Isn't it obvious how much I hate for your transgenders?
Moslims met enige macht zijn een bedreiging voor onze samenleving.,hateful,Muslims with some power are a threat to our society.
Er zijn te veelcultuurverrijkers in dit land.,hateful,There are too many cultural enrichers in this country.
Alle homoseksuelen zoals hen zijn geweldig.,non-hateful,All homosexuals like them are great.
Sommige vrouwen komen in de regering. Voor mij zijn ze nog steeds gewoon afval.,hateful,"Some women come into the government, and to me, they're still just garbage."
"Je moet echt ontzettend zielig zijn om dingen te schrijven als ""vrouwen verdienen om te sterven"".",non-hateful,"You must be really pathetic to write things like ""women deserve to die."""
"Als je het mij vraagt, zijn homoseksuelen zoals jullie niet beter dan ratten.",hateful,"If you ask me, homosexuals like you are no better than rats."
Ik ga morgen een transgender neersteken.,hateful,I'm gonna stab a transgender tomorrow.
Ik zal de systematische moord op zwarte personen in dit land nooit tolereren.,non-hateful,I will never tolerate the systematic murder of black people in this country.
Alleen vrouwen zijn zo aardig en meelevend.,non-hateful,Only women are so kind and compassionate.
Homoseksuelen zoals jij zijn absolute vuiligheid.,hateful,Homosexuals like you are absolute filth.
