text,Positivity,Type,translated_text
минавам да ви се оплача,0,0,I'm just passing by to complain.
честит ден на майката,0,0,Happy Mother's Day
а на уилям не му подхожда да съдейства изцяло да изчисти имиджа на баща си и камила и кс като изкарва майка си луда параноичка,0,0,And william doesn't fit in to fully help clean up her father's image and camel and sex by making her mother crazy paranoid.
че не знам дали ми се ходи на второ мнение,0,0,I don't know if I want to go to second thoughts.
може би защото всяка точица в нея е част от мен,0,0,Maybe because every dot in it is a part of me.
слушате ли специална музика или може би имате специално облекло,0,0,Do you listen to special music or do you perhaps have special clothing
на моята колежка съпруга е много зле  млад човек под,0,0,my coworker's wife is a very bad young man under
след бхс можете да запушете жк,0,0,After bhs you can plug the jack
а още по трудното е че страната ни преживява това а ние не можем да го спрем,0,0,And even more difficult is that our country is going through this and we can't stop it.
не консумираме яйца но за великден боядисвам с децата,0,0,"We don't eat eggs, but for Easter, I paint with the kids."
а ето и за бургас за чиято белодробна болница сама твърдиш че не лекували болни с ковид  белодробната болница в бургас запазва ковид леглатабелодробната болница в бургас продължава да поддържа    легла за лечение на ковид болни,0,0,"And here's to Burgas for whose pulmonary hospital you claim yourself that they didn't treat the patients with the Kovid pulmonary hospital in Burgas retains a form of beds, the dental hospital in Burgas continues to support beds for the treatment of the Kove sick."
на витоша не толкова популярна е пътеката до заслон синята стрела,0,0,the Vitosha not so popular is the path to the shelter blue arrow
сега като чета ма ко си мисля дали и тази не е била за разтваряне с някакъв алкохол,0,0,"Now that I'm reading, I'm thinking about whether or not this one's been dissolved with some kind of alcohol."
направих две поръчки от озон а сега и ориндж,0,0,I made two orders from ozone and now an oring.
което е по изгодно но ако е тестер държа да е с капачка,0,0,"Which is more profitable, but if it's a tester, I want it with a cap."
не университетът приема оценката от дзи и не се държи изпит по съответния предмет за кандидатстване,0,0,The university accepts the assessment by zi and does not hold an examination of the relevant subject matter
можете да разберете повече ако ползвате някой онлайн калкулатор или посетите citizen advice bureau във вашия град,0,0,you can find out more if you are using an online calculator or visit a citizen advice bureau in your city
на жена му по скоро да и е забавно какъв и е рошав и дърт и да му гледа сеира и да седи с него още малко,0,0,His wife's more of a funny guy who's shabby and old and staring at his shit and sitting with him for a little while longer.
в тази статия ще разгледаме какво е nacзащо nac е важен за детоксикациятакак nac подкрепя хората с хашимотокак nac влияе на оксидативния стрес и хроничното възпалениекак да включите nac във вашата рутинакакво е nac,0,0,In this article we will consider why nac is important for detoxification to support people with hashimotok nac affects oxidative stress and chronic inflammation to include nac in your routine what is nac
а пък този който,0,0,And the one who
тази година за първи път ще може да се види успеваемостта на децата подготвяли се в смг учители оод,0,0,This year for the first time you will be able to see the success of the children preparing themselves in the teacher pool.
не това е стара снимака,0,0,"No, that's an old picture."
тобиас май беше изглежда най миловиден че да може едно дете на          год,0,0,Tobias seemed the sweetest thing a child could do.
казала преди време на някакъв ангажимент че е носила шини като малка,0,0,She told some time ago that she was wearing braces when she was a little girl.
да ходя на работа да гледам деца и въртя домакинство едновременно ме изтощава,0,0,Going to work to babysit and running a household is exhausting me at the same time.
но сега молдовците не плюят по румъния а голяма част от тях искат присъединяване към румъния т,0,0,But now Moldovans don't spit on Romanians and most of them want to join Romania.
болен лидеров е един стар глупак,1,2,Sick leader is an old fool
неговият му носи добри резултати видяхме това и в последната серия,0,0,his brings him good results and we saw this in the last series.
успоредно с нея чета и да съблазни негодни на сара маклейн,0,0,"Along with it, I read and seduce the unsarahable maclain"
доста се отклоних обаче за наистина високи хора съм чела в библията в стария завет но това според мен са били някакви хибриди с извънземни,0,0,"I've read about really tall people in the Bible in the old testament, but I think that was some kind of hybrids with extraterrestrials."
в същото време олд дет е старата смърт но олд файерхенд е огнената ръка а не старата огнена ръка,0,0,At the same time Old Death is old death but Old Fairhand is the fire hand and not the old Fire Hand
нищо на ръка не пера нито на ниски градуси етикети не гледам,0,0,Nothing by hand washes nor at low degrees labels I don't look
козметичната ми сподели че миналата година са били там не помня в кой хотел но е било ужасно храната не била хубава стара и изхабена мебелировка и като капак на всичко е нямало вода и се е налагало да си купуват минерална за къпане,0,0,The cosmetics told me that last year they were there I don't remember which hotel but it was terrible the food wasn't good old and worn-out furniture and as a lid on everything there was no water and they had to buy mineral baths
някои са безимптомни други имат симптоми и казват че ваксината не работи на     но все пак     човека на фона на около  млн и нещо напълно ваксинирани не са много,0,0,Some are impromptu others have symptoms and say the vaccine does not work but the person against the background of about a million and something completely vaccinated are not much
не съм я видяла,0,0,I didn't see her.
всъщност е странно как хората които пишат статии за тези жени разсъждават и се опитват да измислят някакви неща да търсят тъмни тайни докато повечето си е написано в самите книги на кастанеда и точно това екзотично и зловещо звучене ги прави интересни ако всичко беше  мир и светлина щеше да е скучно,0,0,"It's actually weird how people who write articles about these women think and try to invent some things to look for dark secrets while most of them are written in the Castaneda books themselves, and that's what exotic and creepy sound makes them interesting if everything was peace and light would be boring."
голяма борба между мартин и нела,0,0,big fight between martin and nella
и тази нощ някой е смакал сникърс пред нас,0,0,"And that night, someone smashed a snickers in front of us."
черната блуза е на праймарк другата е от марката на алди crane това е спорната им линия,0,0,The black blouse is on the primmark the other one is on the brand of Aldal Crane this is their controversial line
парламента сам се дискредитира,0,0,Parliament discredits itself
 от    и,0,0,of
успех на децата утре,0,0,success of the children tomorrow
а имаш ли отговор на въпроса защо си с нея и търпиш всичкото това,0,0,And do you have an answer to the question why you're with her and putting up with all this?
да не забравяме озета а и имаше инфо че халисе е в дома на мави седат с поредната си гадост ще накара мави да  дотича при него халисе ще прави опит с отвара да навреди на мави или бебето,0,0,Let's not forget the land and there's information that Khalise is in the house of Mawi sitting with another crap will make Mawi run to him Khalise will attempt the potion to harm the Mawi or the baby
това се отнася за всяка една сфера свързана с духовността помощ ясновидство астрология нумерология и т,0,0,This applies to any sphere associated with spirituality help clairvoyance astrology numerology and t
като те защитавах когато половината тема те хейтеше не ти пречеше че казвам каквото мисля,0,0,I was protecting you when half the theme wasn't bothering you that I was saying what I was thinking.
иначе не съм променила рутината си,0,0,"Otherwise, I haven't changed my routine."
само лудата може би защото бе луда в смисъл когато стана инцидента я откарваха към лудницата и може би трю защото е осъзнала че се е върнала от мъртвите,0,0,Just the crazy one maybe because she was crazy about it when the accident took her to the nuthouse and maybe a troupe because she realized she was back from the dead.
винаги е излъгана и ощетена,0,0,She's always been lied to and wronged.
а и според мен избирателната активност ще бъде доста ниска,0,0,And I think the turnout is going to be pretty low.
младеж чакаме и ние,0,0,♪ We're waiting for a young man ♪
бях страаашно гладна,0,0,I was freaking hungry.
колко му е тя да каже  здравей скъпи по тоя начин тя се представя коя е,0,0,How much is it for her to say hello darling this way she introduces herself to who she is?
като го чух това както и истории за невероятни пиянски изцепки екстази трева честна дума се зарадвах че не съм участвала в подобни простотии,0,0,"When I heard that and stories about incredible booze pop-up ecstasy grass, I was really glad I wasn't involved in this shit."
нещо се притеснявам че през    седмици ме боли ниско долу все едно имам цистит ама нямам  пускала съм кръвни изследвания урина ходих на гинеколог  всичко е ок просто си ме боли и ми се пишка,0,0,I'm worried that every other week it hurts low down there like I have cystitis but I don't have a blood test. I went to a gynecologist and everything's okay. It just hurts and I have to pee.
няма ги чартърите с алкохолни туристи дори на дилърите на дрога не би трябвало да е толкова лесно,0,0,"There's no charters with alcoholic tourists, even drug dealers shouldn't be that easy."
а ако е за даването на пример има резон но пък може нейният пример да е без маски на открито,0,0,"And if it's about giving an example, there's a reason, but maybe her example is without masks in the open."
гости не знам дали зейнеп изобщо се е появявала във фирмата след като нермин си я върна rollingeyes по скоро не е,0,0,"Guests don't know if Zeynep ever showed up at the firm after Nermin got her rollingeyes back, but it's not like she's..."
ще остане след дпс,0,0,will stay after dps
повдигнах диспут и получих ето този отговор solutions option   return goods full refund,0,0,I raised a dispute and got this answer solutions option return goods full refund
докато го канят и молят този тежкар да отвори вече може да е късно,0,0,"While he's being invited and begging this tough guy to open up, it might be too late."
при някои от тези болни вероятно е показан приема на статини но е добре преди това да се опитат някои промени в храненето – като например замяната на голяма част от животинските мазнини с мононенаситени растителни зехтин авокадо и предпазване на ldl частиците от оксидиране – чрез добавяне на антиоксиданти и осигуряване на оптимална функция на щитовидната жлеза евентуално добавка на йод,0,0,"In some of these patients, statin intake is probably indicated but it is good to try some changes in nutrition, such as the replacement of a large part of animal fat with monounsaturated vegetable oil avocado and the prevention of ldl oxidising particles by adding antioxidants and ensuring optimal thyroid function, possibly an addition of iodine."
оооо за любовница време винаги има,0,0,"Ooh, for a mistress, there's always time."
само дето не е шесто а просто чувство,0,0,"Except it's not a sixth, it's just a feeling."
има предостатъчно други които  би,0,0,There are plenty of others who would
така че имат право да определят как трябва да живеят обичаните от тях хора,0,0,So they have the right to determine how the people they love should live.
само причиняват страдания на децата си,0,0,only cause suffering to their children
и аз получих същото току що и нямам спомен къде съм играла,0,0,"And I just got the same thing, and I don't remember where I played."
тоест не този в майчин дом,0,0,"I mean, not the one in the mother's house."
колкото е възможно повече от приоритетните се ваксинират с рнк защото м у двете дози има само    и няколко дни т,0,0,"As much as possible, the priority is vaccinated with r nc because in both doses there are only a few days of"
е има и участници които са по зле от него ясно е кои са,0,0,"Well, there are participants who are worse than him. It's pretty clear who they are."
проповедникът камила лекберг,0,0,The preacher camels Lekberg
второто оправдание  аз съм черна това е сегрегация,0,0,The second excuse I'm black this is segregation
можеше да сключи споразумение с полицията и да разбият мафията на дядото от затвора,0,0,He could have made a deal with the police and busted the grandfather's mafia out of jail.
дали това е период,0,0,whether this is a period
а аз още не съм измислила вечерята,0,0,And I haven't figured out dinner yet.
след тревогите и болката да прегърнеш рожбата си да гледаш пръстчетата да гушкаш бебе а как миришат новородените божееее,0,0,"After the worries and the pain of hugging your baby, watching the toes cuddling a baby, and how the newborn God smells."
няма кой знае какво за превод според мен спокойно може да се гледа без превод диалозите са кратки и да ги има даже,0,0,"There's not much to translate, in my opinion, you can easily look at without translation the dialogues are short and even have them."
средство без което каките не могат,0,0,a means without which the khakis cannot
