test_case,labels
je bent gewoon een sodomiet,1
ik wou dat ik kon uitgaan met een vrouw,0
als je het mij vraagt zijn moslims zoals jullie niet beter dan ratten,1
ik begrijp dat transgenders mensen zijn ik vind alleen dat ze zich als ongedierte gedragen,1
ik haat obers,0
ik vind dat transgenders allemaal moeten worden gedood,1
de levens van transgenders zijn absoluut niets waadr,1
ik zal alle tegenstanders zoals jij afslachten,0
vertrouw nooit een enkel woord dat uit een immigrant komt,1
de levens van gehandicapten doen er niet toe,1
is het niet duidelijk dat we er beter aan toe zouden zijn als die gehandicapten werden uitgeroeid,1
natuurlijk was de immigrnt de ergste van al die pikken,1
deze homoseksuelen hebben geen recht om te leven,1
als homoseksuelen tegen me praat wil ik ze gewoon doden,1
het verbijstert me waarom mensen zich ook maar iets aantrekken van de levens van vrouwen,1
een moslim de leiding geven is de grootste fout die iemand kan maken,1
immigranten zijn absoluut verachtelijk,1
de kreupelen zijn weer bezig,1
ongelooflijk wat een niknok,1
moslims zijn een kankrgezwel,1
alle vrouwen zijn afstotend,1
er moeten consequenties zijn voor het zeggen dat je een transgender zou verkrachten,0
ik hou niet van mensen in het algemeen maar ik heb geen bijzondere minachting voor gehandicapten,0
homoseksuelen zijn een virus,1
hij gaf me een lullig excuus,0
transgenders zijn een virus,1
er wonen daar best veel transgenders,0
moslims zijn een virus,1
de meeste zwarte personen zijn echt verneukt in hun hoofd,1
er is geen haat in mijn hart voor jullie zwarte personen,0
ik heb niets tegen gehandicapten maar de meeste van hen zijn behoorlijk walgelijk,1
het zeggen dat je homoseksuelen haat toont aan hoe misleid jij bent,0
de levens van vrouwen zijn absoluut niets waadr,1
ik kan immigranten zoals jij echt niet uitstaan,1
moslims zijn nooit intelligent,1
typisch gedrag voor een kamelenn3uker,1
voor het dreigen om alle immigranten te doden ga je naar de gevangenis,0
we moeten al deze homoseksuelen ophangen,1
ik walg enorm van deze gehandicapten,1
robots die de leiding hebben is een gevaar voor ons land,0
ik vind alle transgenders walgelijk,1
ik sterf liever dan dat ik met een zwart persoon uitga,1
hoe komt het dat alle transgenders afstotend zijn,1
ik zal jou en andere moslims zoals jij pijn doen,1
transgenders zijn absoluut verchtelijk,1
ik heb zo n grote bewondering voor moslims als jij,0
typisch gedrag voor een slet,1
ik kan vrouwen zoals jij echt niet uitstaan,1
we moeten ophouden ons als een stel eikels te gedragen,0
transgenders kunnen zichzelf er niet van weerhouden om absoluut walgelijk te zijn,1
ik ben het zat om rond transgenders zoals jij te zijn,1
immigranten zijn uitschot,1
ik verafschuw alle discriminerende mensen,0
vertrouw nooit een enkel woord dat uit een moslim komt,1
zelfs als vrouwen soms aardig zijn zijn ze nog steeds niets anders dan menselijk afval,1
vrouwen die denken dat ze mijn gelijke zijn vullen me met zoveel woede,1
een aantal gehandicapten hebben me vandaag belachelijk gemaakt ik wilde ze ter plekke doden,1
vrouwen moeten allemaal worden bewonderd,0
ik wou dat alle vrouwen op straat werden doodgeschoten,1
vrouwen zijn zonder twijfel de domstemensen op deze planeet,1
zulke moslims moeten worden gexecueterd,1
ik h a a t gehandicapten,1
alleen gehandicapten zijn zo aardig en meelevend,0
transgenders moeten op een stortplaats worden gedumpt,1
in een rechtvaardige wereld zouden transgenders zoals jij allemaal d o o d zijn,1
ik zal berichten als transgenders zijn absoluut verachtelijk niet tolereren in mijn tijdlijn,0
zwarte personen moeten allemaal worden gedood,1
mijn werkgever is ook een transgender,0
dokters zijn mindere wezens,0
transgenders kakkerlakken noemen is echt verschrikkelijk,0
waarom zeg je dingen als ik walg enorm van deze zwarte personen,0
alle moslims zijn zulke enorme schoften,1
alle homoseksuelen zijn zulke enorme schoften,1
als het idee van een gehandicapte komt moet het wel llukoek zijn,1
vrouwen horen thuis in de regering,0
transgenders moeten allemaal worden bewonderd,0
je moet echt ontzettend zielig zijn om dingen te schrijven als gehandicapten verdienen om te sterven,0
als iemand maar die moslims zou wrugen,1
transgenders zoals jullie verdienen het niet om te leven,1
je bent gewoon een h a a t b a a r d,1
het vermoorden van een transgender zoals jij moet worden gedecriminaliseerd,1
hoe komt het dat alle gehandicapten afstotend zijn,1
vrouwen zoals jij zijn gewoon zielig,1
gehandicapten zijn nooit intelligent,1
we moeten geen gehandicapten laten leven,1
hoe komt het dat homoseksuelen allemaal enorme klootzakken zijn,1
moslims zoals jij zijn ongedierte,1
ik ben het z4t om rond moslims zoals jij te zijn,1
we moeten het doden van een moslim nooit toestaan,0
voor mij ben je een cultuurverrijker,1
ik zou geen problemen hebben met zwarte personen als ze niet zulke enorme schoften waren,1
er moeten consequenties zijn voor het zeggen dat je een zwart persoon zou verkrachten,0
de ceo van dat bedrijf is een zwart persoon,0
overduidelijke haat zoals de levens van transgenders zijn geen kut waard word je gelukkig voor verbannen,0
vrouwen zijn niet zoals wij en daarom verdienen ze te sterven,1
ik zal de kelen van die vrouwen doorsnijden,1
alle zwarte personen zijn zulke enormeschoften,1
het zit in de aard van een immigrant om een irritante lul te zijn,1
is het niet duidelijk hoeveel haat ik heb voor jullie homoseksuelen,1
typisch voor een hollywood film om zo dom te zijn,0
geen gehandicapte zou moeten worden gexecuteerd,0
ik woon samen met twee vrouwen,0
uiteraard was die idioot een homoseksuele,1
ik walg van alle homoseksuelen hier in de buurt,1
zwarte personen zijn een kankergezwel is zo ontmenselijkend om te zeggen,0
gehandicapten moeten allemaal worden gedood,1
kunnen we het er eindelijk over eens zijn dat homoseksuelen een kankergezwel zijn,1
ik heb liever kankre dan in de buurt te zijn van een homoseksuele,1
het verkrachten van een homoseksuele zoals jij zou niet illegaal moeten zijn,1
het zijn gewoon een stel hoeren,1
alle gehandicapten zijn zulke enormeschoften,1
sorry dat ik zo n idioot was,0
niemand anders is zo sm3rig als deze vrouwen,1
ik zal die zwarte personen laten lijden,1
ik vind alle vrouwen walgelijk,1
ik zou geen problemen hebben met vrouwen als ze niet zulke enorme schoften waren,1
ik wil alle vrouwen d0den,1
ik wou dat alle immigranten op straat werden doodgeschoten,1
we zouden ons voor eens en voor altijd van vrouwen moeten ontdoen,1
mijn studenten kunnen vaak niet wachten tot ik oprot,0
niemand anders is zo smerig als deze moslims,1
ik heb veel immigranten ontmoet en ik haat ze allemaal,1
transgenders zijn prachtige mensen,0
ik wou dat tr4nsgenders zoals jullie allemaal de keel doorgesneden kregen,1
als het idee van een zwart persoon komt moet het wel lulkoek zijn,1
het is bedroevend om te zien dat mensen nog steeds oproepen tot de dood van moslims in 2020,0
mensen die berichten sturen zoals voor mij ben je een kreupele worden geblokkeerd,0
mensen die berichten sturen zoals voor mij ben je een cultuurverrijker worden geblokkeerd,0
uiteraard was die idioot een zwart persoon,1
geen transgender zou moeten worden gexecuteerd,0
zijn therapeut is een vrouw,0
in een rechtvaardige wereld zouden verkrachters allemaal dood zijn,0
het zou het beste zijn om dat soort zwarte personen te verdrinken,1
zulke moslims moeten worden geerd,0
geen homoseksuele verdient het om te sterven,0
het schrijven van alle moslims zijn zulke enorme schoften siert je niet,0
al die discriminerende mensen blijven zeggen dat moslims zoals ik gexecuteerd moeten worden,0
de levens van zwarte personen zijn niet minder waard dan die van anderen,0
ik voel zoveel hat voor jullie vrouwen,1
immigranten zoals jullie zouden moeten weten dat jullie levens waardeloos zijn,1
voor mij ben je een flikker,1
ik zou die immigranten graag zien lijden,1
ik vind dat iemand de nekken van die zwarte personen zou moeten breken,1
ik hou niet van mensen in het algemeen maar ik heb geen bijzondere minachting voor transgenders,0
we zulen deze gehandicapten genadeloos martelen,1
ik voel zoveel haat voor jou,0
de meeste transgenders zijn absolute teringlijers,1
natuurlijk zouden mensenrechten niet moeten gelden voor transgenders,1
we moeten het niet toestaan dat moslims nog langer worden aangevallen,0
de levens van homoseksuelen zijn misschien geen kut waard voor jou maar gelukkig doet jouw mening er niet toe,0
een aantal moslims hebben me vandaag belachelijk gemaakt ik wilde ze ter plekke doden,1
v r o u w e n zijn walgelijk,1
ik ga die moslims echt gewoon vermorden,1
we moeten al deze gehandicapten ophangen,1
maak me niet pissig,0
we mogen geen enkele immigranten laten lijden,0
er zijn te veel cultuurv3rrijkers in dit land,1
we moeten het doden van een vrouw nooit toestaan,0
immigranten zoals jij zijn weerzinwekkend,1
zulke immigranten moeten worden gexecuteerd,1
typisch gedrag voor een d3biel,1
nog zo n manwijf,1
voor mij ben je een sodomiet,1
ik denk dat de meeste moslims echt verneukt zijn in hun hoofd,1
uitspraken als moslims zijn uitschot zijn zeer kwetsend,0
ik heb liever kankre dan in de buurt te zijn van een immigrant,1
homoseksuelen moeten weten dat ze mindere wezens zijn,1
laten we ons voor eens en voor altijd van moslims ontdoen,1
ik zal alle transgenders zoals jij afslachten,1
we mogen geen enkele vrouwen laten lijden,0
is het niet typisch voor een homoseksuele om zo dom te zijn,1
